Geography 2,Sex,Age group,Reference period,Total unemployed,Temporary layoff,Job searchers,Worked,Job leavers,Job losers permanent layoff,Reason for leaving/losing job unknown,Were not in the labour force,Kept house,Attended school,Other reasons,Future starts
,,55 to 64 years,2019,15,x,13,6.8,x,4.3,x,6.2,3.1,x,2.6,x
,,,2020,26.6,12.7,13.1,7.5,x,5.7,x,5.6,1.9,x,3.6,x
,,,2021,25.8,2.1,22.6,13.6,x,7.4,5.3,9,4.1,x,4.8,x
,,65 years and over,2019,4.8,x,4.7,2.4,x,x,x,2.3,x,x,x,x
,,,2020,7.5,4.7,2.8,1.5,x,x,x,x,x,x,x,x
,,,2021,3.8,x,3,x,x,x,x,1.6,x,x,x,x
Ontario,Males,15 years and over,2019,236.4,10.3,216.5,104.6,20.8,62.6,21.3,111.9,23.4,63.9,24.6,9.5
,,,2020,379.3,72.4,298.3,142.2,24.3,96.5,21.4,156,41.9,85.5,28.6,8.6
,,,2021,338,33.5,294.4,152.2,19.5,75,57.7,142.3,45.7,70.6,26,10.2
,,15 to 24 years,2019,77,1.6,72.5,15.9,4.8,9.3,1.8,56.6,3.7,47.9,4.9,2.9
,,,2020,124.3,17.9,103.9,22.1,4.7,15.3,2.1,81.8,5.6,69.3,6.9,2.6
,,,2021,94.9,7.9,84.1,20.8,3.4,11,6.4,63.3,5.1,53.2,5,2.8
,,25 years and over,2019,159.4,8.8,144,88.7,15.9,53.2,19.5,55.4,19.7,16,19.7,6.6
,,,2020,254.9,54.5,194.4,120.1,19.6,81.2,19.3,74.2,36.4,16.2,21.7,6
,,,2021,243.2,25.5,210.3,131.3,16.1,63.9,51.3,79,40.6,17.4,20.9,7.4
,,25 to 54 years,2019,120.3,5.5,109.3,65.2,12,40.6,12.6,44.1,15,14.9,14.2,5.5
,,,2020,190.7,39.2,147.2,90.6,14.8,62.6,13.2,56.6,24.5,15.9,16.2,4.3
,,,2021,174.6,17.1,152.1,95.7,12.2,49.3,34.2,56.5,27.3,16.5,12.7,5.3
,,55 years and over,2019,39,3.2,34.7,23.5,3.9,12.6,6.9,11.2,4.7,x,5.5,x
,,,2020,64.3,15.3,47.2,29.6,4.8,18.6,6.1,17.6,11.9,x,5.4,1.8
,,,2021,68.6,8.4,58.1,35.6,3.9,14.7,17.1,22.5,13.4,x,8.2,2
,,55 to 64 years,2019,32.7,2.7,28.9,19.9,3.3,10.7,5.9,9,4.3,x,3.9,x
,,,2020,52.7,12,39,25.5,3.7,16.4,5.4,13.5,9.3,x,4,1.8
,,,2021,51,5.6,43.4,27.8,3.2,11.8,12.8,15.6,9.1,x,5.6,2
,,65 years and over,2019,6.3,x,5.8,3.6,x,1.9,x,2.2,x,x,1.6,x
,,,2020,11.6,3.3,8.3,4.1,x,2.2,x,4.1,2.6,x,x,x
,,,2021,17.6,2.8,14.8,7.9,x,2.9,4.3,6.9,4.2,x,2.6,x
,Females,15 years and over,2019,203.1,4.9,186.1,70.4,17.2,38,15.2,115.7,45.3,51.6,18.8,12.1
,,,2020,365.1,79.8,275,104,16.8,76.1,11,171,63.2,84.8,23,10.4
,,,2021,302.3,31,258.6,105.3,12.9,53.8,38.6,153.3,66.3,64,23,12.7
,,15 to 24 years,2019,60.9,x,57.7,10.2,4.3,4.9,x,47.4,3.2,41.2,3,2.9
,,,2020,117.7,19.1,95.2,14.2,4.6,9.4,x,81,6.6,69.8,4.6,3.4
,,,2021,80.7,7.9,69.8,11.8,2.5,7.2,2.1,58,5.2,49.4,3.5,3.1
,,25 years and over,2019,142.2,4.6,128.4,60.1,12.8,33.1,14.2,68.3,42.1,10.4,15.8,9.2
